,E_ID,PH_Name,PH_ID,PR_ID,IH_LOC,NW,Parent_Gen
0,592323119,Mary,225766667,800981516,C,False,Initial_Flock
1,410431189,Mary,225766667,800981516,C,False,Initial_Flock
2,729054692,Mary,225766667,800981516,B,True,Initial_Flock
3,630362478,Mary,225766667,800981516,A,False,Initial_Flock
4,796885249,Mary,225766667,800981516,C,False,Initial_Flock
5,166717594,Mary,225766667,800981516,A,False,Initial_Flock
6,413653244,Mary,225766667,800981516,B,True,Initial_Flock
7,726685926,Mary,225766667,800981516,C,False,Initial_Flock
8,271758669,Mary,225766667,800981516,B,True,Initial_Flock
9,795512698,Mary,225766667,800981516,C,False,Initial_Flock
10,105434556,Mary,225766667,800981516,C,False,Initial_Flock
11,878116723,Mary,225766667,800981516,A,False,Initial_Flock
12,830874852,Mary,225766667,800981516,A,False,Initial_Flock
13,550261202,Mary,225766667,800981516,B,True,Initial_Flock
14,986027652,Mary,225766667,800981516,C,False,Initial_Flock
15,117629829,Mary,225766667,800981516,B,True,Initial_Flock
16,147807606,Mary,225766667,800981516,C,False,Initial_Flock
17,732153370,Mary,225766667,800981516,A,False,Initial_Flock
18,704212524,Mary,225766667,800981516,B,True,Initial_Flock
19,718569663,Mary,225766667,800981516,A,False,Initial_Flock
20,889938879,Mary,225766667,800981516,A,False,Initial_Flock
21,252071889,Mary,225766667,800981516,C,False,Initial_Flock
22,776095449,Mary,225766667,800981516,C,False,Initial_Flock
23,602958303,Mary,225766667,800981516,A,False,Initial_Flock
24,812298694,Mary,225766667,800981516,C,False,Initial_Flock
25,850840392,Mary,225766667,800981516,A,False,Initial_Flock
26,121931838,Mary,225766667,800981516,B,True,Initial_Flock
27,217947253,Mary,225766667,800981516,C,False,Initial_Flock
28,927587281,Mary,225766667,800981516,A,False,Initial_Flock
29,937427313,Mary,225766667,800981516,C,False,Initial_Flock
30,226592751,Mary,225766667,800981516,C,False,Initial_Flock
31,272405799,Mary,225766667,800981516,B,True,Initial_Flock
32,398577445,Mary,225766667,800981516,C,False,Initial_Flock
33,826020350,Mary,225766667,800981516,A,False,Initial_Flock
34,77965601,Mary,225766667,800981516,B,True,Initial_Flock
35,542838249,Mary,225766667,800981516,A,False,Initial_Flock
36,494009192,Mary,225766667,800981516,C,False,Initial_Flock
37,621081892,Mary,225766667,800981516,A,False,Initial_Flock
38,339934393,Mary,225766667,800981516,A,False,Initial_Flock
39,365263088,Mary,225766667,800981516,C,False,Initial_Flock
40,341894848,Mary,225766667,800981516,B,True,Initial_Flock
41,167740021,Mary,225766667,800981516,B,True,Initial_Flock
42,98999899,Mary,225766667,800981516,A,False,Initial_Flock
43,729417111,Mary,225766667,800981516,B,True,Initial_Flock
44,254448594,Mary,225766667,800981516,C,False,Initial_Flock
45,550368865,Mary,225766667,800981516,B,True,Initial_Flock
46,732413360,Mary,225766667,800981516,B,True,Initial_Flock
47,422397446,Mary,225766667,800981516,B,True,Initial_Flock
48,399714351,Mary,225766667,800981516,B,True,Initial_Flock
49,734902635,Mary,225766667,800981516,A,False,Initial_Flock
50,737249710,Mary,225766667,800981516,B,True,Initial_Flock
51,892879741,Mary,225766667,800981516,B,True,Initial_Flock
52,694874649,Mary,225766667,800981516,C,False,Initial_Flock
